actual,predicted,valid_json
4,4,True
5,5,True
3,4,True
1,1,True
5,5,True
4,4,True
4,4,True
4,5,True
5,5,True
1,1,True
4,5,True
5,5,True
3,5,True
4,4,True
5,5,True
2,3,True
4,2,True
4,4,True
5,5,True
5,4,True
5,5,True
5,5,True
1,1,True
4,4,True
4,5,True
4,4,True
1,1,True
4,4,True
2,2,True
2,2,True
1,1,True
1,1,True
3,4,True
4,5,True
5,5,True
5,5,True
5,5,True
5,4,True
4,4,True
2,1,True
3,2,True
1,1,True
1,2,True
3,2,True
4,5,True
4,5,True
4,4,True
5,5,True
4,5,True
1,1,True
1,1,True
3,3,True
4,4,True
4,4,True
4,4,True
3,3,True
5,5,True
5,5,True
5,5,True
1,2,True
2,2,True
2,2,True
4,4,True
3,3,True
4,4,True
2,2,True
5,5,True
5,5,True
2,2,True
4,5,True
3,3,True
2,2,True
5,5,True
4,5,True
3,3,True
5,5,True
2,2,True
5,5,True
3,4,True
5,5,True
4,5,True
4,4,True
4,4,True
4,5,True
4,4,True
5,4,True
5,5,True
4,4,True
4,4,True
3,4,True
4,5,True
3,2,True
3,2,True
5,5,True
4,4,True
5,5,True
4,4,True
4,5,True
4,4,True
2,2,True
4,4,True
5,5,True
4,5,True
4,3,True
2,2,True
3,4,True
1,1,True
2,3,True
5,5,True
5,5,True
4,4,True
4,5,True
4,5,True
3,4,True
5,5,True
4,5,True
3,3,True
1,2,True
5,5,True
3,4,True
1,1,True
5,5,True
4,4,True
4,4,True
4,5,True
4,4,True
4,4,True
4,5,True
5,5,True
4,5,True
3,3,True
4,4,True
3,4,True
4,4,True
5,5,True
5,5,True
4,4,True
3,4,True
4,4,True
4,5,True
1,2,True
5,5,True
4,4,True
4,4,True
3,2,True
5,5,True
5,5,True
4,4,True
4,5,True
3,3,True
4,5,True
5,5,True
5,5,True
4,4,True
2,2,True
5,5,True
4,4,True
1,1,True
2,2,True
3,4,True
4,5,True
2,1,True
1,2,True
4,5,True
4,4,True
5,5,True
4,5,True
4,4,True
4,4,True
4,4,True
3,5,True
3,3,True
4,4,True
5,5,True
5,5,True
4,4,True
3,2,True
1,1,True
3,4,True
4,5,True
3,5,True
5,5,True
5,5,True
5,5,True
4,4,True
2,2,True
4,4,True
3,4,True
5,5,True
5,5,True
3,3,True
4,5,True
5,5,True
3,4,True
5,5,True
4,5,True
4,5,True
3,4,True
4,5,True
5,5,True
